LAW,Law,Dedman School of Law,Dedman Law School
MAST,Managerial Statistics,Cox School of Business,Business Analytics
MATH,Mathematics,Dedman College,Mathematics
MDVL,Medieval Studies,Dedman College,Medieval Studies
ME,Mechanical Engineering,Lyle School of Engineering,Mechanical Engineering
MKTG,Marketing,Cox School of Business,Marketing
MN,Ministry,Perkins School of Theology,Perkins School of Theology
MNGT,Management,Cox School of Business,Management & Organizations
MNO,Management & Organizations,Cox School of Business,Management & Organizations
MPED,Music Pedagogy,Meadows School of the Arts,Music
MREP,Music - Repertoire,Meadows School of the Arts,Music
MSA,Meadows School of the Arts,Meadows School of the Arts,Meadows School of the Arts
MT,Moral Theology,Perkins School of Theology,Perkins School of Theology
MUAC,Music Accompanying,Meadows School of the Arts,Music
MUAS,Music Arts and Skills,Meadows School of the Arts,Music
MUCO,Music Conducting,Meadows School of the Arts,Music
MUED,Music Education,Meadows School of the Arts,Music
MUHI,Musicology,Meadows School of the Arts,Music
MUPD,Piano Pedagogy,Meadows School of the Arts,Music
MUPR,Music Private Studies,Meadows School of the Arts,Music
MURE,Music Recitals,Meadows School of the Arts,Music
MUTH,Music Theory,Meadows School of the Arts,Music
MUTY,Music Therapy,Meadows School of the Arts,Music
NT,New Testament,Perkins School of Theology,Perkins School of Theology
OBOE,Oboe,Meadows School of the Arts,Music
OREM,Operations Res & Engr Mgm,Lyle School of Engineering,Operations Research Engr Mgmt
ORG,Organ,Meadows School of the Arts,Music
OT,Old Testament,Perkins School of Theology,Perkins School of Theology
PC,Pastoral Care,Perkins School of Theology,Perkins School of Theology
PERB,Class Instruction,Meadows School of the Arts,Music
PERC,Percussion,Meadows School of the Arts,Music
PERE,Ensembles,Meadows School of the Arts,Music
PHIL,Philosophy,Dedman College,Philosophy
PHYS,Physics,Dedman College,Physics
PIAN,Piano,Meadows School of the Arts,Music
PLSC,Political Science,Dedman College,Political Science
PP,Public Policy,Dedman College,Public Policy
PPIA,Public Policy&Interntl Affairs,Dedman College,Dedman Interdisciplinary
PR,Preaching,Perkins School of Theology,Perkins School of Theology
PREX,Proficiencies & Experiences,Provost,General Education
PRW,Personal Responsibility & Well,Simmons School Edu & Human Dev,Wellness
PS,Prayer and Spirituality,Perkins School of Theology,Perkins School of Theology
PSYC,Psychology,Dedman College,Psychology
RE,Real Estate,Cox School of Business,Real Estate Risk Mgmt&Busn Law
RELI,Religious Studies,Dedman College,Religious Studies
RMI,Risk Management & Insurance,Cox School of Business,Real Estate Risk Mgmt&Busn Law
ROTC,Army ROTC,Lyle School of Engineering,Army ROTC
RUSS,Russian,Dedman College,World Languages & Literatures
SAX,Saxophone,Meadows School of the Arts,Music
SCCL,Science and Culture,Simmons School Edu & Human Dev,Liberal Studies
SCI,Science,Dedman College,Science
SOCI,Sociology,Dedman College,Sociology
SOSC,Social Science,Simmons School Edu & Human Dev,Liberal Studies
SPAN,Spanish,Dedman College,World Languages & Literatures
SPRT,Sport,Simmons School Edu & Human Dev,Applied Physiology&Sport Mngt
SSC,Social Sciences,Dedman College,Social Sciences
ST,Systematic Theology,Perkins School of Theology,Perkins School of Theology
STAT,Statistical Science,Dedman College,Statistics & Data Science Dept
STRA,Strategy & Entrepreneurship,Cox School of Business,Strategy & Entrepreneurship
TC,Theology and Culture,Perkins School of Theology,Perkins School of Theology
